word,meaning
caseworker,"עובד סוציאלי"
"cash flow from financing activity","תזרים מזומנים מפעילות מימון (חלק מדו&quot;ח תזרים מזומנים המפרט את תנועת המזומנים בפעילות מימון של עסק)"
"cash register","קופה רושמת"
cashbook,"ספר קופה"
cashflow,"תזרים מזומנים"
cashmere,"צמר קשמיר (סוג צמר יקר)"
cashpoint,"כספומט, מכשיר למשיכת כסף באופן ממוכן ללא עזרת פקיד"
cassia,"קציעה, קסיה (צמח)"
"cast salt on the tail of","לתפוס, ללכוד, לזרות מלח על הזנב"
"cast your bread upon the water","שלח לחמך על-פני המים"
"castile soap","סבון קסטיליה (סוג של סבון מעולה המכיל בד&quot;כ שמן זית)"
casualisation,"החלפת עובדים קבועים בעובדים זמניים, תהליך שינוי צורת ההעסקה מעובדים קבועים במשרה מלאה לעובדים המועסקים כעצמאים; מגמה לאוירה נינוחה יותר בעבודה (גם casualization)"
casuistry,"פלפול, קזואיסטיקה"
"cat-and-dog life","לחיות כמו חתול וכלב, לחיות בריב תמידי"
catabolite,"קטבוליט (בביולוגיה-תוצר של פעולה קטבולית)"
catachresis,"שימוש לא נכון של מילים; פרישת מטפורה, שימוש במילה באופן לא מדויק בצורה מטפורית"
cataplastic,"תחבושתי"
catarrhally,"ע&quot;י נזלת"
catastrophism,"(גיאולוגיה) קטסטרופיזם, תיאוריה הגורסת כי השינויים הגיאולוגיים המכריעים במבנה כדור הארץ התרחשו בבת אחת ( ולא באופן הדרגתי) ע&quot;י קטסטרופות"
catching,"מידבק (מחלה)"
catchpoll,"שוטר העוצר אנשים בשל חוב (ארכאי)"
"catchy song","שיר קליט , פזמון"
catechol,"קטקול (תרכובת כימית)"
categorically,"באופן חד משמעי, בפסקנות"
catenation,"חיבור חוליות או חלקים; סדרה מחוברת"
catlick,"שטיפה שטחית"
catmint,"נפית החתולים (צמח החביב על חתולים)"
catnap,"לנום תנומה קלה"
"cattle train","רכבת בקר"
caudation,"זנביות"
"caught his eye","לכד את מבטו"
caulker,"התקן בפרסה למניעת החלקה"
"caused tension","גרם למתח"
causeway,"שביל מורם בשטח בוצי"
cavernous,"חלול; עמוק; מלא נקבות"
cavity,"חריר, חלל, חור; עששת שיניים"
cbd,"צורת תשלום מראש"
cbft,"נפח קובייה (שאורך כל צלע בה הוא רגל אחת)"
cbi,"איגוד עובדים בריטי"
"cease fire","חדל אש!, (בצבא, פקודה הניתנת לשם הפסקת הירי)"
cee,"האות השלישית באלפא-בית האנגלי &quot;c&quot;"
"celebrate the occasion","לחגוג את המאורע"
celebration,"חגיגה"
celibate,"רווקאיות, מחויב להיות צנוע; הימנעות מיחסי מין או ממגע מיני"
"cellared wine","יין משומר"
celled,"בעל תאים; מצוי בתא"
"cellular telephone","טלפון סלולרי, טלפון נייד, פלאפון"
cementitious,"השייך או הקשור למלט; דמוי-מלט, בעל מאפיינים של מלט"
censor,"בדק, צנזור"
"center round","להתרכז סביב"
centipede,"מרבה רגליים"
central,"מרכזייה, מערכת מיתוג טלפונית, מרכז רשת הטלפונים; מרכזן; משרד ראשי"
"central committee","ועד מרכזי (נציגות, מועצה)"
"central heating","הסקה מרכזית"
centralis,"(מונח הנמצא בשימוש ברפואה) מרכזי, נמצא במרכז"
centrifuge,"להפריד בצנטריפוגה (מכשיר להפרדת חומרים ע&quot;י תנועה סיבובית מהירה)"
ceremonial,"נוהג, טקס"
certainly,"כמובן"
certainty,"ודאות"
ch.,"פרק, קטע מספר"
chalicosis,"מחלת ריאות"
"chamber pot","סיר לילה"
chambermaid,"חדרנית"
chancer,"(בריטי) אדם הלוקח סיכויים, מי שמסתכן; אדם שמנצל כל הזדמנות"
chandelle,"פנייה פתאומית תלולה כלפי מעלה המבוצעת בעת הטסת מטוס על מנת לשנות את כיוון הטיסה ולצבור גובה בעת ובעונה אחת"
"change administration","להחליף ממשל, לשנות הנהלה"
changeful,"הפכפך; מתחלף"
"channel 1","הערוץ הראשון (הטלביזיה הכללית, הערוץ הממלכתי בשידורי הטלביזיה)"
chanteuse,"זמרת"
chaotic,"הפוך, בערבובה, קאוטי"
chapelry,"תחום-שיפוט של קפלה, מחוז השייך לקפלה על פי חוק"
chapped,"סדוק, יבש וסדוק"
"character encoding","מערך תווים, קבוצת התווים שמחשב מסוים יכול להשתמש בהם"
"charged to the account","נזקף לחשבון (נרשם לחובת החשבון)"
"charging batteries","טעינת מצברים"
charisma,"כריזמה, קסם אישי; חוש טבעי וסגנונו של אדם; כושר מנהיגות"
charivari,"שריברי, מהומה, תוהו ובוהו, קאוס; סרנדה ליצנית רועשת לזוג שנישא לפני זמן קצר הנעשית על ידי דפיקות על סירים"
"charming young man","בחור-חמד"
"charnel house","חדר אחסון גופות ועצמות; מקום בו קיימים כאב ו מצוקה פיזית ומוות"
chartered,"מוסמך, מורשה"
chaste,"פרוש, צנוע, תמים; בתולי, שלא קיים יחסי מין; (ארכאי) רווק"
chatline,"(באנגליה) קו צ'ט, שירות טלפון המאפשר למטלפנים לשוחח עם אחרים בשביל הכיף"
chattily,"אגב שיחה"
"cheap perfume","בושם זול"
cheater,"רמאי"
cheating,"לקיחת משהו שאינו שלו על ידי הולכת שולל; רמאות, הולכת שולל"
checkweighman,"נציג הנבחר על ידי כורי פחם לבדוק את ממצאי המכרה"
cheerleading,"חברות בלהקת מריעות (באירועי ספורט)"
"cheese dough pockets","כיסני גבינה"
cheeseburger,"צ'יזבורגר (סוג המבורגר, לחמנייה עם קציצה וגבינה צהובה)"
chevon,"בשר עז"
"chew out","לנזוף בחומרה באדם, לגעור"
chewink,"פרוש אדום-העין, סוג ציפור המצויה במזרחה של צפון אמריקה"
"chicken feed","מזון לעופות"
"chicken kabob","שיפודי עוף (נתחי עוף צלוי על שיפוד)"
chicolay,"(סלנג) שקרן; סרסור; ג'יגולו"
"chief financial officer","מנהל כספים ראשי (אחראי על כל הנושאים הפיננסיים בחברה או בארגון גדול), CFO"
"chief inspector","פקד (דרגה משטרתית, המקבילה המשטרתית לסרן)"
"chief of logistics branch","ראש אג&quot;א , ראש אגף-אפסנאות"
"chief superintendent","סגן ניצב (דרגת קצונה משטרתית)"
"child rearing","גידול ילדים, תהליך גידול וחינוך ילדים, הורות"
childish,"ילדותי"
chilly,"צונן"
chimerism,"תעתועים"
chinquapin,"צ'ינקוואפין, הערמון הננס, עץ הערמון דמוי-שיח ממשפחת האשור בעל עלים מוארכים ואגוזים קטנים אכילים; עץ ירוק-עד הנפוץ בחוף האוקיינוס השקט בעל קליפת עץ עם חריצים עמוקים ועלים בצבע ירוק כהה המניב אגוז שלא ראוי למאכל; ערמונים קטנים אותם מניבים שני סוגי העצים הנ&quot;ל המצויים בדרום ארה&quot;ב (גם chinkapin)"
chionablepsia,"עיוורון שלג, עיוורון זמני הנגרם כתוצאה מבוהק השלג"
"chip of wood","פיסת עץ קטנה, שבב עץ"
chipmaker,"יצרן שבבים אלקטרוניים (מחשבים)"
"chisel off","לקצץ באזמל"
chiton,"צ'יטון, חלוק, גלימה נטולת שרוולים אותה לבשו גברים ונשים ביוון העתיקה; רכיכה ימית בעלת קונכייה המורכבת משמונה ציפויים חופפים ורגל שרירית אחת לניידות (מסדרת האמפינואיים)"
chivalric,"אבירי"
chivalrously,"באבירות"
choice,"בחירה, מבחר, ברירה"
cholecyst,"כיס המרה"
chometz,"חמץ , מזון שאינו כשר לפסח"
"choose between","לבחור בין"
choppy,"גלי, רוגש; הפכפך"
choreograph,"לחבר ולערוך מחזה, סרט או בלט"
chorus,"לשיר במקהלה"
"chosen people","העם הנבחר, עם סגולה (כינוי לעם ישראל)"
chouse,"רמאי, נוכל"
chromogen,"כרומוגן (בכימיה-חומר היוצר תרכובת צבעונית בהשפעת חמצון; תרכובת צבעונית היוצרת צבע; בקטריה יוצרת צבע)"
chronopher,"מכשיר המשדר את הזמן הנכון למקומות מרוחקים באמצעות חשמל"
chubbiness,"שמנמנות, גוציות"
chuck,"מלחציים (בעגה:) בשר העורף"
"chuck chuck","(קריאה לזימון תרנגולות) הנה אפרוחים!"
"chuck-will's-widow","תחמס גדול הדומה לעוף-לילה וחי בדרום ארה&quot;ב"
chuckle,"גיחוך"
chummage,"היות שותפים לחדר"
churchyard,"בית קברות של הכנסייה"
churinga,"&quot;צ'ורינגה&quot;, קמיע או חפץ אחר הקדושים לילידים האוסטרלים"
chuvashi,"כוואשי, השייך או הקשור לכוואש"
cineaste,"אדם העוסק בביום או הפקה של סרטים; מעריץ סרטים"
cinematographically,"מבחינה קולנועית"
"circle of friends","חוג חברים"
circler,"מקיף, מסתובב"
circularity,"מעגליות"
circularize,"['cir·cu·lar·ize || 'sɜrkjələraɪz /'sɜːk-]<br>להפיץ חוזרים או עלונים; לגרום להפוך להיות מפורסם או ידוע (גם circularise)"
circulative,"מסתובב"
circumjacent,"הגובל בכל צד"
circumstance,"נסיבה, תנאי"
circumstantially,"בצורה נסיבתית"
circumventing,"עקיפה, הקפה, מעקף, מעבר בדרך חליפית"
circus,"קרקס; כיכר, צומת"
cither,"ציתר, כלי נגינה קדמון בעל מיתרים (גם cithern)"
citification,"הטבעת חותם עיר, עיור, אורבניזציה"
"city people","עירוניים, אנשי עיר"
"civil war","מלחמת אזרחים, מלחמה פנימית בין תושבי אותה מדינה, מלחמה בין שניים או יותר פלגים באותה אומה"
"civil year","שנה אזרחית"
clackers,"צעצוע הקשה הכולל כדור הקשור בחבל; (סלנג) שיניים תותבות"
cladogenetic,"קלדוג'ני, של או השייך להיווצרות קלדוג'נית, של או השייך לאבולוציה המתרחשת בתגובה לדרישות סביבתיות ספציפיות של מינים באזור מסוים (ביולוגיה)"
"clandestine affair","רומן סודי"
claret,"קלרט, סוג של יין אדום המיוצר באזור בורדו; יינות אדומים דומים המיוצרים במקומות אחרים; (סלנג) דם"
classic,"מאורע או יצירת מופת"
classic,"מופתי, קלאסי"
"classical beauty","יופי קלאסי"
clawbar,"מוט-הרמה המכופף בקצהו האחד בעל צבת לשליפת מסמרים או חודים"
"clean press","עיתונות נקייה"
"cleaning rod","חוטר-ניקוי (מקל מיוחד לניקוי כלי-נשק)"
"clear the air","לטהר את האווירה, להבהיר דברים"
"clear the table","לפנות את השולחן; לנקות את השולחן"
"cleared condition","מצב תחילי"
clearout,"ניקוי, סילוק, הוצאה; ריקון"
"cleft foot","רגל שסועה"
cleptomania,"מחלת הגניבה, קלפטומניה"
cliche,"קלישאה"
"climbing irons","מסמרי ברזל המחוברים לתחתית הנעליים או המגפים המונעים החלקה על קרח או שלג והמאפשרים את ההליכה על הקרח או את הטיפוס"
"clinch a draw","להגיע לתיקו"
clincher,"(בעגה:) נימוק מכריע"
cloister,"מנזר; אכסדרה, סטיו"
